CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"15260,""Brunswick, GA (Metropolitan Statistical Area)"",3413870,3496653,3675232,3910829,4014131,4184548,4147627,3977517,3896209,3949310,3834111,3763132,3758160,3754078,3941140,3877903,3976958,4070228,4003632,3878393,4053802"
"15380,""Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)"",49408142,50709223,51254615,52835324,52515635,53567619,54060648,54638917,54752579,56297326,55715760,56949530,56707977,57988890,58791203,59451559,59113131,59766041,61297215,59203146,62335645"
"15500,""Burlington, NC (Metropolitan Statistical Area)"",4644432,4891409,4884739,5145291,5208078,5373473,5291765,5219094,4832993,5026621,5152658,5115980,5320042,5410479,5376865,5576629,5504462,5531239,5699327,5628997,6083266"
"15540,""Burlington-South Burlington, VT (Metropolitan Statistical Area)"",8847525,9129045,9759444,10461919,10501279,10691572,10464351,11142760,11032452,11560537,11863596,11980563,11809481,11964029,12068021,12393329,12453276,12574649,12795297,12449168,13102886"
"15680,""California-Lexington Park, MD (Metropolitan Statistical Area)"",4066690,4338846,4607747,4802017,4924594,5084472,5250997,5358060,5481462,5920208,6233141,6238169,6186889,6270602,6434020,6601713,6731707,6777542,6902109,7037431,7167546"
"15940,""Canton-Massillon, OH (Metropolitan Statistical Area)"",14909779,15152535,15155553,15442251,15726829,15204933,15002646,14763515,13857158,14603166,15655272,15336732,16362443,17396899,17480998,17226349,17379597,17208351,17360610,16323877,17156501"
"15980,""Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"",17209337,18638915,20556380,23332113,25528887,27436322,27512869,25137378,22800485,22394411,22203023,22668690,23150505,24280068,25739463,27623624,28253372,29154745,29515140,29571443,32191829"
"16020,""Cape Girardeau, MO-IL (Metropolitan Statistical Area)"",3314598,3425559,3456830,3612720,3783603,3831920,3892799,3945139,3884132,3820116,3793935,3828018,3835030,3854115,3956165,4006755,4012672,4063224,4031645,3894850,3995856"
"16060,""Carbondale-Marion, IL (Metropolitan Statistical Area)"",4396203,4598670,4636820,4702987,4847129,4929883,4860940,5113843,5140675,5318291,5500320,5498354,5315242,5189972,5159823,5117185,5129361,5274719,5271926,4983347,5151468"
"16180,""Carson City, NV (Metropolitan Statistical Area)"",2899235,2939874,2981989,3028819,3098494,3192775,3272533,3296309,3226797,3401623,3124682,3085186,3064811,2907150,2930819,2916310,3098865,3216179,3411046,3309545,3445525"
"16220,""Casper, WY (Metropolitan Statistical Area)"",3142042,3225619,3322133,3558330,3847810,4392785,4474911,4609951,4262386,4490080,4755230,5348606,5485786,5865579,5784123,5253429,5171409,5648043,5517511,4899458,4818428"
"16300,""Cedar Rapids, IA (Metropolitan Statistical Area)"",10521328,10405468,11216400,12285170,12871741,12983947,14233277,14067639,14257291,15069560,15458668,15576684,15308252,15934362,16496961,16863870,16718933,17160098,16720848,16383623,16853623"
"16540,""Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)"",4070575,3997184,4284970,4643875,5066252,5375488,5654774,5614987,5250169,5219615,5246154,5200945,5311069,5417728,5554346,5395091,5838489,5810118,5760570,5443831,5656973"
"16580,""Champaign-Urbana, IL (Metropolitan Statistical Area)"",8500056,8942468,8978069,9166303,9128695,9311574,9500279,9923098,9813354,10193754,10292506,10297982,10725063,10915145,10903881,10635496,10573037,10457216,10496221,10387228,10798699"
"16620,""Charleston, WV (Metropolitan Statistical Area)"",13535841,13609876,13606691,13541842,13902310,14163742,14172869,14060099,14037283,13715281,13746174,13230825,12797019,12535556,12186663,12033288,11776816,12408336,11764776,11041467,11348602"
"16700,""Charleston-North Charleston, SC (Metropolitan Statistical Area)"",21756270,22751621,24080948,25582173,27238209,28129207,29358500,29139687,28121542,29370689,30801258,32514042,32398697,33259461,34735243,36548050,37190348,38332160,40076838,38678060,41625511"
"16740,""Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"",91493459,93890482,97664356,103669673,111445387,119228126,121062119,129500001,120804982,116604789,123246657,130053823,129316315,133022384,138393659,142318666,149262768,151035673,154912366,156866686,167252620"
"16820,""Charlottesville, VA (Metropolitan Statistical Area) *"",8064585,8156462,8457715,8819844,9265340,9642821,9932663,10320173,10220689,10786545,10789752,10900584,10953593,11010460,11335764,11530130,12120452,12424181,12525065,12035160,12815761"
"16860,""Chattanooga, TN-GA (Metropolitan Statistical Area)"",20284827,20658505,21283474,22186309,22769321,23030972,23242692,23150793,22278577,22726864,23490849,24388347,24696399,24581557,25256617,25686139,26413612,26637945,27202305,26474278,28336074"
"16940,""Cheyenne, WY (Metropolitan Statistical Area)"",3621285,3770708,3965717,4167953,4249448,4473388,4971985,5459019,4688102,4748091,4918436,5048331,4954538,5002895,5197364,5031289,5034781,5310610,5516987,5261259,5507761"
"16980,""Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)"",513554905,516783075,525123412,539222436,550327986,563767731,572141186,560759466,540793397,547911679,556699079,570954874,571812288,585490687,598224439,600346200,605947501,622008434,626388990,592460553,630126315"
"17020,""Chico, CA (Metropolitan Statistical Area)"",6436131,6868645,7143910,7237914,7395227,7651114,7523603,7351131,7548295,7576197,7508928,7363012,7413059,7309623,7600549,8084983,8415033,8513088,8658177,8083203,8094801"
"17140,""Cincinnati, OH-KY-IN (Metropolitan Statistical Area)"",101429390,103716852,105561944,107534520,110430629,110953835,111555660,110917590,106732957,110202204,113935657,114925551,115881037,119162117,122080653,126813843,129571268,130388303,136730231,133562952,141603974"
"17300,""Clarksville, TN-KY (Metropolitan Statistical Area)"",7691983,8325793,8584475,9263104,10179116,10675716,10474022,10677271,10645428,11057880,11654118,11714681,11440591,11282833,11325545,11136423,11072445,11161778,11348125,11368901,11955588"
"17420,""Cleveland, TN (Metropolitan Statistical Area)"",3348353,3505126,3533208,3754351,3784153,3727480,3744646,3781557,3704860,3860960,3907058,4370203,4441104,4367179,4431297,4271501,4289378,4276862,4303395,4282348,4463690"
"17460,""Cleveland-Elyria, OH (Metropolitan Statistical Area)"",106395762,107794041,109582370,112171519,115183235,115199019,115243020,114119345,106620603,107682264,109633754,110449446,110725664,112901278,113215933,113544724,115177268,117066683,119911243,114787030,122275473"
"17660,""Coeur d'Alene, ID (Metropolitan Statistical Area)"",3456795,3528914,3683118,3978816,4366120,4565234,4774355,4786125,4418018,4615565,4475695,4549770,4934304,5032654,5065926,5293700,5454643,5754147,5874552,6042537,6553224"
"17780,""College Station-Bryan, TX (Metropolitan Statistical Area)"",7042062,7383266,7660459,7803555,8452417,9180465,9970552,10412466,11253661,10681221,10472961,10588541,11348838,12080591,12846206,12906036,13213472,13741676,14299770,14317613,14695978"
"17820,""Colorado Springs, CO (Metropolitan Statistical Area)"",24619415,24675477,24969721,25389212,26677997,27072513,27789102,27819645,27900472,28570280,29299541,29544337,29951471,30159000,30399355,30822605,31876572,32948752,34093877,34594262,36364322"
"17860,""Columbia, MO (Metropolitan Statistical Area)"",6816147,6940201,7122526,7388903,7572146,7676093,7635782,7765628,7734548,7861768,8024623,8257173,8508923,8526077,8697980,8756562,8931010,8992106,9372598,9353508,9848822"
"17900,""Columbia, SC (Metropolitan Statistical Area)"",28054576,28551678,29514736,30863780,31742068,32980010,33924409,33870022,32995183,33114928,33158453,33020513,33842903,35028576,35976016,36925452,37294435,37694004,38402891,37832290,39506122"
"17980,""Columbus, GA-AL (Metropolitan Statistical Area)"",11131298,11448014,11450692,11618303,11892881,12155398,12543499,12549237,12656412,12870872,13072588,13223474,12980558,12946376,13007853,12809407,12900538,12890192,13131287,13065904,13379440"
"18020,""Columbus, IN (Metropolitan Statistical Area)"",3592314,3488337,3658747,3934847,4179120,4549382,5093263,5331660,4384006,5286815,5438197,5944569,6233867,5944979,5754567,5651578,5629014,6065973,6041654,5590432,6067893"
"18140,""Columbus, OH (Metropolitan Statistical Area)"",84663759,85964187,87651782,90999553,94236566,94568334,95866057,94645989,91720319,94509349,98191024,101853495,104567264,107732032,109401014,111826269,115372387,116735576,120326001,118636145,127766546"
"18580,""Corpus Christi, TX (Metropolitan Statistical Area)"",18033335,17926699,18556333,19877205,18843000,19435295,20734404,19772928,19442901,20667946,21316965,21256084,21611011,20229391,20199245,19796740,20559579,21531838,21710152,20709661,21096536"
"18700,""Corvallis, OR (Metropolitan Statistical Area)"",2658010,2686867,2733168,2857634,3043464,3307810,3564994,3761790,3669380,3812300,3943347,3895460,3740567,3718874,3751453,3872863,4003929,4221079,4270422,4230357,4432827"
"18880,""Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)"",8704456,9404356,10209968,11300582,12099137,12101146,12003871,11362125,10895677,10714721,10784404,11359563,11639891,11814713,12090040,12565789,12969091,13344479,14089517,14314222,15554414"
"19060,""Cumberland, MD-WV (Metropolitan Statistical Area)"",3231020,3263568,3228640,3209455,3185392,3161442,3134301,3239920,3229069,3442707,3426666,3403834,3312586,3304001,3357595,3505168,3457791,3503978,3493323,3263935,3283980"
"19100,""Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)"",273531523,281690659,285517893,302019260,317440735,342705521,354614438,357232392,346156191,352860506,365601169,377846407,388536307,402787824,422048089,435497728,450467241,469741026,486572160,480618181,513979216"
"19140,""Dalton, GA (Metropolitan Statistical Area)"",5779365,6040699,6117093,6812153,7115345,7037943,6991097,6641067,5987314,5721066,5773220,5974576,5901604,6058659,6246707,6477648,6485431,6405541,6416540,6256720,6689497"
"19180,""Danville, IL (Metropolitan Statistical Area)"",2830502,2928942,3049688,3185689,3119654,3246385,3212199,3230933,3037577,3034548,3071758,3131054,3153906,3100438,3026740,2976307,3014231,3005674,3005642,2925344,3024701"
"19300,""Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)"",4007706,4193288,4426472,4912303,5502688,5673657,5852051,5569570,5328816,5381575,5372338,5426597,5678991,5775601,5992794,6266434,6430406,6786933,7132205,7142139,7830237"
"19340,""Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)"",16881911,16804058,17284241,18335362,18766845,18827676,19035797,19509878,18638154,19257302,19909370,20552256,19918013,19955294,19593979,19324537,19534190,19483487,19676631,19457007,20300431"
